search_family,removed_term,covered_output_columns,exact,provenance,field,rank_tested,restart
,,0,False,MEASURED_FROM_CODE,GF(3),22,226
,,0,False,MEASURED_FROM_CODE,GF(3),22,227
,,0,False,MEASURED_FROM_CODE,GF(3),22,228
,,0,False,MEASURED_FROM_CODE,GF(3),22,229
,,0,False,MEASURED_FROM_CODE,GF(3),22,230
,,0,False,MEASURED_FROM_CODE,GF(3),22,231
,,0,False,MEASURED_FROM_CODE,GF(3),22,232
,,0,False,MEASURED_FROM_CODE,GF(3),22,233
,,0,False,MEASURED_FROM_CODE,GF(3),22,234
,,0,False,MEASURED_FROM_CODE,GF(3),22,235
,,0,False,MEASURED_FROM_CODE,GF(3),22,236
,,0,False,MEASURED_FROM_CODE,GF(3),22,237
,,0,False,MEASURED_FROM_CODE,GF(3),22,238
,,0,False,MEASURED_FROM_CODE,GF(3),22,239
,,0,False,MEASURED_FROM_CODE,GF(3),22,240
,,0,False,MEASURED_FROM_CODE,GF(3),22,241
,,0,False,MEASURED_FROM_CODE,GF(3),22,242
,,0,False,MEASURED_FROM_CODE,GF(3),22,243
,,0,False,MEASURED_FROM_CODE,GF(3),22,244
,,0,False,MEASURED_FROM_CODE,GF(3),22,245
,,0,False,MEASURED_FROM_CODE,GF(3),22,246
,,0,False,MEASURED_FROM_CODE,GF(3),22,247
,,0,False,MEASURED_FROM_CODE,GF(3),22,248
,,0,False,MEASURED_FROM_CODE,GF(3),22,249
,,0,False,MEASURED_FROM_CODE,GF(3),22,250
,,0,False,MEASURED_FROM_CODE,GF(3),22,251
,,0,False,MEASURED_FROM_CODE,GF(3),22,252
,,0,False,MEASURED_FROM_CODE,GF(3),22,253
,,0,False,MEASURED_FROM_CODE,GF(3),22,254
,,0,False,MEASURED_FROM_CODE,GF(3),22,255
,,0,False,MEASURED_FROM_CODE,GF(3),22,256
,,0,False,MEASURED_FROM_CODE,GF(3),22,257
,,0,False,MEASURED_FROM_CODE,GF(3),22,258
,,0,False,MEASURED_FROM_CODE,GF(3),22,259
,,0,False,MEASURED_FROM_CODE,GF(3),22,260
,,0,False,MEASURED_FROM_CODE,GF(3),22,261
,,0,False,MEASURED_FROM_CODE,GF(3),22,262
,,0,False,MEASURED_FROM_CODE,GF(3),22,263
,,0,False,MEASURED_FROM_CODE,GF(3),22,264
,,0,False,MEASURED_FROM_CODE,GF(3),22,265
,,0,False,MEASURED_FROM_CODE,GF(3),22,266
,,0,False,MEASURED_FROM_CODE,GF(3),22,267
,,0,False,MEASURED_FROM_CODE,GF(3),22,268
,,0,False,MEASURED_FROM_CODE,GF(3),22,269
,,0,False,MEASURED_FROM_CODE,GF(3),22,270
,,0,False,MEASURED_FROM_CODE,GF(3),22,271
