comm_term,anti_term,max_abs_difference_after_normalization,normalized_dot_product,abs_normalized_dot_product,comm_scale,anti_scale,matched_rank1_term,cancels_in_half_sum_if_matched,provenance
c05,s02,3.4417395663471767e-01,1.7957751517120792e-02,1.7957751517120792e-02,5.2617925254628748e+00,2.1113969268093742e+00,False,False,EXACT_DERIVED
c05,s03,3.8345320920661108e-01,1.1860589644716714e-02,1.1860589644716714e-02,5.2617925254628748e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c05,s04,3.1804767188544814e-01,-1.4403629423171077e-02,1.4403629423171077e-02,5.2617925254628748e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
c05,s05,3.1479087627867286e-01,-3.6470658193208480e-02,3.6470658193208480e-02,5.2617925254628748e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c05,s06,4.6046906640561308e-01,-3.9499536104623039e-03,3.9499536104623039e-03,5.2617925254628748e+00,-2.1792202055039831e+00,False,False,EXACT_DERIVED
c05,s07,3.2033379391806394e-01,7.8474617879623516e-03,7.8474617879623516e-03,5.2617925254628748e+00,2.5659582297407053e+00,False,False,EXACT_DERIVED
c05,s08,8.3550081119461417e-01,2.1990433398768321e-02,2.1990433398768321e-02,5.2617925254628748e+00,2.1925846888267437e+00,False,False,EXACT_DERIVED
c05,s09,2.8436408453735695e-01,-4.5894088238864427e-04,4.5894088238864427e-04,5.2617925254628748e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
c05,s10,3.7495965521800356e-01,-3.6656364493853613e-03,3.6656364493853613e-03,5.2617925254628748e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c05,s11,3.8394989051751660e-01,-5.4625453664058313e-04,5.4625453664058313e-04,5.2617925254628748e+00,2.3108509513644933e+00,False,False,EXACT_DERIVED
c05,s12,2.8288465373855981e-01,-1.4612789991017458e-04,1.4612789991017458e-04,5.2617925254628748e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c05,s13,2.7119819888530505e-01,6.2691065252061848e-02,6.2691065252061848e-02,5.2617925254628748e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c05,s14,3.1472957218493608e-01,-1.5545757228774122e-02,1.5545757228774122e-02,5.2617925254628748e+00,2.1743933446146309e+00,False,False,EXACT_DERIVED
c05,s15,2.8447658381417029e-01,1.7047959116472801e-03,1.7047959116472801e-03,5.2617925254628748e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c05,s16,4.9901170948295215e-01,6.3582867875776206e-03,6.3582867875776206e-03,5.2617925254628748e+00,-2.4555552594339427e+00,False,False,EXACT_DERIVED
c05,s17,2.9399382782062078e-01,-7.0537481257795229e-02,7.0537481257795229e-02,5.2617925254628748e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c05,s18,2.9134676580791374e-01,7.3149756726045654e-03,7.3149756726045654e-03,5.2617925254628748e+00,-3.8689415030055607e+00,False,False,EXACT_DERIVED
c05,s19,2.6621496984321436e-01,7.8462196431819675e-02,7.8462196431819675e-02,5.2617925254628748e+00,-3.1397060552277192e+00,False,False,EXACT_DERIVED
c06,s01,2.6669752266240904e-01,-1.1107212203811940e-03,1.1107212203811940e-03,9.7193075978288217e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
c06,s02,2.5669185672752454e-01,-2.8529713253476322e-06,2.8529713253476322e-06,9.7193075978288217e+00,2.1113969268093742e+00,False,False,EXACT_DERIVED
c06,s03,2.5747621691395500e-01,-8.6246716622903719e-06,8.6246716622903719e-06,9.7193075978288217e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c06,s04,3.0536229810693449e-01,2.3350433435356003e-03,2.3350433435356003e-03,9.7193075978288217e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
c06,s05,4.2132282789847525e-01,-1.2891783914487173e-01,1.2891783914487173e-01,9.7193075978288217e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c06,s06,4.4873160865546441e-01,-2.3599121040936287e-03,2.3599121040936287e-03,9.7193075978288217e+00,-2.1792202055039831e+00,False,False,EXACT_DERIVED
c06,s07,3.0807515425469267e-01,-5.3802483060758789e-03,5.3802483060758789e-03,9.7193075978288217e+00,2.5659582297407053e+00,False,False,EXACT_DERIVED
c06,s08,8.8444401224342828e-01,-1.5480155579000038e-02,1.5480155579000038e-02,9.7193075978288217e+00,2.1925846888267437e+00,False,False,EXACT_DERIVED
c06,s09,3.1172287418148753e-01,-2.1521622969381259e-04,2.1521622969381259e-04,9.7193075978288217e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
