case_id,track,seed,support_signature,nnz_alpha,nnz_beta,nnz_gamma,status,viable,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,independent_variable_rank,dropped_variable_count,fixed_gauge_count,gamma_union_size,alpha_union_size,beta_union_size,full_gamma_coverage,unique_gamma_support_count,error
step83b_track2_screen_0816,track2_screen,8302816,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,62.21837295802547,9.675166995730343,58.17967096516644,152,0,38,9,9,9,True,16,
step83b_track2_screen_0817,track2_screen,8302817,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,81.91499629243675,9.398432414844123,52.283582612861316,133,0,38,9,9,9,True,16,
step83b_track2_screen_0818,track2_screen,8302818,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,114.93132268482917,10.251205661325955,67.3687079834937,171,0,38,9,9,9,True,16,
step83b_track2_screen_0819,track2_screen,8302819,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,127.27099285038497,8.605103891610861,54.64614196694464,152,0,38,9,9,9,True,17,
step83b_track2_screen_0820,track2_screen,8302820,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,107.32291966020485,11.126598111546304,63.618881702584126,152,0,38,9,9,9,True,17,
step83b_track2_screen_0821,track2_screen,8302821,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,205.90152797339306,12.082910658943149,86.90085535636726,190,0,38,9,9,9,True,18,
step83b_track2_screen_0822,track2_screen,8302822,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,78.78438942475917,10.632278281953981,58.30930923088989,152,0,38,9,9,9,True,14,
step83b_track2_screen_0823,track2_screen,8302823,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,55.29092288483348,8.384667274602936,53.87459804852926,133,0,38,9,9,9,True,17,
step83b_track2_screen_0824,track2_screen,8302824,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,220.20271821119252,11.920563784785035,80.3202240713833,171,0,38,9,9,9,True,16,
step83b_track2_screen_0825,track2_screen,8302825,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,71.06654928341037,9.091490829685828,62.16361905633257,152,0,38,9,9,9,True,17,
step83b_track2_screen_0826,track2_screen,8302826,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,171.65502463649756,10.413865764929556,58.29422248251015,152,0,38,9,9,9,True,17,
step83b_track2_screen_0827,track2_screen,8302827,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,129.56548641006154,10.022226287434993,79.3828108577551,190,0,38,9,9,9,True,17,
step83b_track2_screen_0828,track2_screen,8302828,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,92.84961742249119,9.656175972758472,56.53592672656962,152,0,38,9,9,9,True,14,
step83b_track2_screen_0829,track2_screen,8302829,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,45.29062649400593,11.722869342633537,56.65132035814558,133,0,38,9,9,9,True,17,
step83b_track2_screen_0830,track2_screen,8302830,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,100.4737019218768,8.398205988854805,62.47181963054051,171,0,38,9,9,9,True,18,
step83b_track2_screen_0831,track2_screen,8302831,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,144.71449276809201,10.60158655335599,66.34084972388861,152,0,38,9,9,9,True,17,
