case_id,dropped_terms,retained_term_count,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,error,provenance
step83_t03_t10_t17_t22,t03;t10;t17;t22,19,screened_ok,100,97,97,1.6019687895387892e+02,1.0000000000000000e+00,4.3588989435406740e+00,,MEASURED_FROM_CODE
step83_t03_t11_t12_t15,t03;t11;t12;t15,19,screened_ok,93,93,93,5.7858845258488643e+01,1.0000000000000000e+00,6.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t11_t12_t17,t03;t11;t12;t17,19,screened_ok,97,95,95,1.6851317194840149e+02,1.0000000000000000e+00,5.0990195135927845e+00,,MEASURED_FROM_CODE
step83_t03_t11_t12_t22,t03;t11;t12;t22,19,screened_ok,98,95,95,1.6895251762356730e+02,1.0000000000000000e+00,5.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t11_t15_t17,t03;t11;t15;t17,19,screened_ok,96,96,96,1.0075782747646868e+02,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
step83_t03_t11_t15_t22,t03;t11;t15;t22,19,screened_ok,97,97,97,1.0112805355153144e+02,1.0000000000000000e+00,5.3851648071345037e+00,,MEASURED_FROM_CODE
step83_t03_t11_t17_t22,t03;t11;t17;t22,19,screened_ok,101,99,99,1.4817185383045418e+02,1.0000000000000000e+00,4.3588989435406740e+00,,MEASURED_FROM_CODE
step83_t03_t12_t15_t17,t03;t12;t15;t17,19,screened_ok,97,97,97,1.0898648120257596e+02,1.0000000000000000e+00,4.8989794855663558e+00,,MEASURED_FROM_CODE
step83_t03_t12_t15_t22,t03;t12;t15;t22,19,screened_ok,98,98,98,1.1109653584588101e+02,1.0000000000000000e+00,5.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t12_t17_t22,t03;t12;t17;t22,19,screened_ok,102,100,100,1.0538156657762158e+02,1.0000000000000000e+00,3.8729833462074170e+00,,MEASURED_FROM_CODE
step83_t03_t15_t17_t22,t03;t15;t17;t22,19,screened_ok,101,98,98,1.2020004752132914e+02,1.0000000000000000e+00,4.1231056256176606e+00,,MEASURED_FROM_CODE
step83_t06_t09_t10_t11,t06;t09;t10;t11,19,screened_ok,93,90,90,1.2723867980142822e+02,1.0000000000000000e+00,5.8309518948453007e+00,,MEASURED_FROM_CODE
step83_t06_t09_t10_t12,t06;t09;t10;t12,19,screened_ok,94,91,91,1.2341165741795918e+02,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t06_t09_t10_t15,t06;t09;t10;t15,19,screened_ok,93,93,93,6.0106168542601061e+01,1.0000000000000000e+00,5.8309518948453007e+00,,MEASURED_FROM_CODE
step83_t06_t09_t10_t17,t06;t09;t10;t17,19,screened_ok,97,95,95,1.2245602717826098e+02,1.0000000000000000e+00,4.8989794855663558e+00,,MEASURED_FROM_CODE
