schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,signature_key,row_pattern,channel_pattern,col_pattern
LLL,105,358,"LLL[L[0,0,0],L[1,1,1],L[0,2,1]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 2); cols=(0, 1, 1)","(0, 1, 0)","(0, 1, 2)","(0, 1, 1)"
LLL,106,359,"LLL[L[0,0,0],L[1,1,1],L[0,2,2]]",216,1,"rows=(0, 1, 0); channels=(0, 1, 2); cols=(0, 1, 2)","(0, 1, 0)","(0, 1, 2)","(0, 1, 2)"
LLL,107,360,"LLL[L[0,0,0],L[1,1,1],L[1,0,0]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 0); cols=(0, 1, 0)","(0, 1, 1)","(0, 1, 0)","(0, 1, 0)"
LLL,108,361,"LLL[L[0,0,0],L[1,1,1],L[1,0,1]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 0); cols=(0, 1, 1)","(0, 1, 1)","(0, 1, 0)","(0, 1, 1)"
LLL,109,362,"LLL[L[0,0,0],L[1,1,1],L[1,0,2]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 0); cols=(0, 1, 2)","(0, 1, 1)","(0, 1, 0)","(0, 1, 2)"
LLL,110,363,"LLL[L[0,0,0],L[1,1,1],L[1,1,0]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 1); cols=(0, 1, 0)","(0, 1, 1)","(0, 1, 1)","(0, 1, 0)"
LLL,111,364,"LLL[L[0,0,0],L[1,1,1],L[1,1,1]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 1); cols=(0, 1, 1)","(0, 1, 1)","(0, 1, 1)","(0, 1, 1)"
LLL,112,365,"LLL[L[0,0,0],L[1,1,1],L[1,1,2]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 1); cols=(0, 1, 2)","(0, 1, 1)","(0, 1, 1)","(0, 1, 2)"
LLL,113,366,"LLL[L[0,0,0],L[1,1,1],L[1,2,0]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 2); cols=(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 1, 0)"
LLL,114,367,"LLL[L[0,0,0],L[1,1,1],L[1,2,1]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 2); cols=(0, 1, 1)","(0, 1, 1)","(0, 1, 2)","(0, 1, 1)"
LLL,115,368,"LLL[L[0,0,0],L[1,1,1],L[1,2,2]]",216,1,"rows=(0, 1, 1); channels=(0, 1, 2); cols=(0, 1, 2)","(0, 1, 1)","(0, 1, 2)","(0, 1, 2)"
LLL,116,369,"LLL[L[0,0,0],L[1,1,1],L[2,0,0]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 0); cols=(0, 1, 0)","(0, 1, 2)","(0, 1, 0)","(0, 1, 0)"
LLL,117,370,"LLL[L[0,0,0],L[1,1,1],L[2,0,1]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 0); cols=(0, 1, 1)","(0, 1, 2)","(0, 1, 0)","(0, 1, 1)"
LLL,118,371,"LLL[L[0,0,0],L[1,1,1],L[2,0,2]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 0); cols=(0, 1, 2)","(0, 1, 2)","(0, 1, 0)","(0, 1, 2)"
LLL,119,372,"LLL[L[0,0,0],L[1,1,1],L[2,1,0]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 1); cols=(0, 1, 0)","(0, 1, 2)","(0, 1, 1)","(0, 1, 0)"
LLL,120,373,"LLL[L[0,0,0],L[1,1,1],L[2,1,1]]",216,1,"rows=(0, 1, 2); channels=(0, 1, 1); cols=(0, 1, 1)","(0, 1, 2)","(0, 1, 1)","(0, 1, 1)"
