base_label,step_idx,branch,sample_index,eps,step_norm,delta_norm,dot_lambda_norm,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,tensor_loss,restricted_rank,kernel_dim,is_regular
alphatensor_rank23_transpose,0,wildcard,21,0.05,4.187423467673157,3.7992892473911364,1.7606579770864035,0.6245923009701738,0.593163796977211,0.6045279216826764,1.9984014443252818e-15,2.325879073109478e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,22,0.001,3.412307710075715,3.1062033042803505,1.4125667915960676,0.6245923009701738,0.6240340513021657,0.624041241501911,2.6645352591003757e-15,3.1156840180996814e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,22,0.003,3.412307710075715,3.1062033042803505,1.4125667915960676,0.6245923009701738,0.6229137380555941,0.6229785070490268,3.1876808722225426e-15,2.8507029002336755e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,22,0.01,3.412307710075715,3.1062033042803505,1.4125667915960676,0.6245923009701738,0.6189546990310957,0.6196764665078845,3.0387359991004955e-15,3.027920042132712e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,22,0.03,3.412307710075715,3.1062033042803505,1.4125667915960676,0.6245923009701738,0.6073637198832647,0.6139040434323967,3.19223305343868e-15,3.456053359404849e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,22,0.05,3.412307710075715,3.1062033042803505,1.4125667915960676,0.6245923009701738,0.5954470475142775,0.6136907421995874,3.1086244689504383e-15,2.7669219437751475e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,23,0.001,3.5751372576233487,3.4542124806248715,0.9219666748543422,0.6245923009701738,0.6239152340625674,0.623919857858894,6.059170882898671e-15,3.8147754363378934e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,23,0.003,3.5751372576233487,3.4542124806248715,0.9219666748543422,0.6245923009701738,0.6225567962666279,0.6225983944709773,2.7813651071523866e-15,2.943873464122084e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,23,0.01,3.5751372576233487,3.4542124806248715,0.9219666748543422,0.6245923009701738,0.6177591476006751,0.6182207812586599,2.940426823526808e-15,3.431827486938647e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,23,0.03,3.5751372576233487,3.4542124806248715,0.9219666748543422,0.6245923009701738,0.6037277110738714,0.607871647330352,3.343816602925716e-15,4.0598896958177e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,23,0.05,3.5751372576233487,3.4542124806248715,0.9219666748543422,0.6245923009701738,0.5893065210218837,0.6008026605945327,1.6653345369377348e-15,1.5534479760258326e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,24,0.001,3.347040057064647,3.155881740451559,1.1149383767185308,0.6245923009701738,0.6240129847821719,0.624015183659908,2.8627129713725586e-15,1.7662713010540082e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,24,0.003,3.347040057064647,3.155881740451559,1.1149383767185308,0.6245923009701738,0.6228527098364818,0.6228724883953244,3.579710289122557e-15,2.144457626884354e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,24,0.01,3.347040057064647,3.155881740451559,1.1149383767185308,0.6245923009701738,0.6187748205426508,0.6189941438731157,1.9984014443252818e-15,1.6111704775464596e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,24,0.03,3.347040057064647,3.155881740451559,1.1149383767185308,0.6245923009701738,0.6069861666015839,0.60894926165192,1.5543122344752192e-15,1.03974672619159e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,24,0.05,3.347040057064647,3.155881740451559,1.1149383767185308,0.6245923009701738,0.5950105002593015,0.6004374595357063,4.1569627485724275e-15,4.691237016445383e-28,14,14,1
