decomposition_id,source,source_detail,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,projection_nonzero_count_numeric,projection_unique_nonzero_coefficients_numeric,projection_allclose_to_integer_numeric,rank_Nuisance_numeric,rank_Sigma_numeric,quotient_gain_numeric,max_abs_residual,loss_value,rank_H_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,eta_nullity_exact,delta_in_eta_exact,projection_nonzero_count,projection_unique_nonzero_coefficients,projection_integral,projection_support_min,projection_support_max
sym_199,symmetry_orbit,"action_id=199;((2, 1, 0), (1, 2, 0), (0, 2, 1))",14,10,14,True,1.9984014443252818e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_200,symmetry_orbit,"action_id=200;((2, 1, 0), (1, 2, 0), (1, 0, 2))",14,10,14,True,1.6238102589949756e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_201,symmetry_orbit,"action_id=201;((2, 1, 0), (1, 2, 0), (1, 2, 0))",14,10,14,True,1.3322676295501878e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_202,symmetry_orbit,"action_id=202;((2, 1, 0), (1, 2, 0), (2, 0, 1))",14,10,14,True,1.0408340855860843e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_203,symmetry_orbit,"action_id=203;((2, 1, 0), (1, 2, 0), (2, 1, 0))",14,10,14,True,1.5543122344752192e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_204,symmetry_orbit,"action_id=204;((2, 1, 0), (2, 0, 1), (0, 1, 2))",14,10,14,True,2.327998904760875e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,74,"['-1', '1', '2']",True,0,6
sym_205,symmetry_orbit,"action_id=205;((2, 1, 0), (2, 0, 1), (0, 2, 1))",14,10,14,True,1.5543122344752192e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,66,"['-1', '1', '2']",True,0,6
sym_206,symmetry_orbit,"action_id=206;((2, 1, 0), (2, 0, 1), (1, 0, 2))",14,10,14,True,1.5543122344752192e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,74,"['-1', '1', '2']",True,0,6
sym_207,symmetry_orbit,"action_id=207;((2, 1, 0), (2, 0, 1), (1, 2, 0))",14,10,14,True,1.7763568394002505e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,66,"['-1', '1', '2']",True,0,6
sym_208,symmetry_orbit,"action_id=208;((2, 1, 0), (2, 0, 1), (2, 0, 1))",14,10,14,True,1.1102230246251565e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,74,"['-1', '1', '2']",True,0,6
sym_209,symmetry_orbit,"action_id=209;((2, 1, 0), (2, 0, 1), (2, 1, 0))",14,10,14,True,1.5543122344752192e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,66,"['-1', '1', '2']",True,0,6
sym_210,symmetry_orbit,"action_id=210;((2, 1, 0), (2, 1, 0), (0, 1, 2))",14,10,14,True,1.5846318311025776e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '1', '2']",True,0,4
sym_211,symmetry_orbit,"action_id=211;((2, 1, 0), (2, 1, 0), (0, 2, 1))",14,10,14,True,2.064112837118821e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '1', '2']",True,0,4
sym_212,symmetry_orbit,"action_id=212;((2, 1, 0), (2, 1, 0), (1, 0, 2))",14,10,14,True,1.3322676295501878e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '1', '2']",True,0,4
sym_213,symmetry_orbit,"action_id=213;((2, 1, 0), (2, 1, 0), (1, 2, 0))",14,10,14,True,1.3322676295501878e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '1', '2']",True,0,4
sym_214,symmetry_orbit,"action_id=214;((2, 1, 0), (2, 1, 0), (2, 0, 1))",14,10,14,True,1.9984014443252818e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,51,"['-1', '1', '2']",True,0,4
sym_215,symmetry_orbit,"action_id=215;((2, 1, 0), (2, 1, 0), (2, 1, 0))",14,10,14,True,1.3597595087119814e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '1', '2']",True,0,4
