trial_index,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric
631,18,23,23,False,2.1012545512637235
632,18,23,23,False,2.975167627722068
633,18,23,23,False,2.031848609033906
634,18,23,23,False,2.607968526641372
635,18,23,23,False,1.9187898006387996
636,18,23,23,False,1.8046718564307676
637,18,23,23,False,2.0986689774357634
638,18,23,23,False,2.382776948989372
639,18,23,23,False,1.8821001757425002
640,18,23,23,False,2.2629732782477476
641,18,23,23,False,2.007984082826921
642,18,23,23,False,1.4628936573690434
643,18,23,23,False,3.1603108848041983
644,18,23,23,False,2.007936370247262
645,18,23,23,False,1.9233406505112185
646,18,23,23,False,1.8575341757478814
647,18,23,23,False,1.980306808705621
648,18,23,23,False,2.0576200194299794
649,18,23,23,False,2.0312213670441377
650,18,23,23,False,1.8315135423513629
651,18,23,23,False,2.426842554628441
652,18,23,23,False,1.933282367027244
653,18,23,23,False,1.889151407809844
654,18,23,23,False,2.202104764934133
655,18,23,23,False,1.924690652897873
656,18,23,23,False,2.22840779878848
657,18,23,23,False,1.8014213710919695
658,18,23,23,False,2.4006384569876076
659,18,23,23,False,2.4879973936198003
660,18,23,23,False,3.079551746659065
661,18,23,23,False,1.6931524915272256
662,18,23,23,False,1.680398601503121
663,18,23,23,False,1.726504524043587
664,18,23,23,False,1.6553366013597008
665,18,23,23,False,1.9641000485491462
666,18,23,23,False,2.3583332721885766
667,18,23,23,False,1.9883766362839141
668,18,23,23,False,2.633569552413878
669,18,23,23,False,1.3668122071826732
670,18,23,23,False,2.2098475208805612
671,18,23,23,False,1.5842760617778269
672,18,23,23,False,2.8158665924855244
673,18,23,23,False,1.5497943822951559
674,18,23,23,False,2.206014488615944
675,18,23,23,False,1.4784878523657032
676,18,23,23,False,1.6622500616480909
677,18,23,23,False,2.1470077489617156
678,18,23,23,False,2.215990231324524
679,18,23,23,False,2.043718370079263
680,18,23,23,False,1.741173893152131
681,18,23,23,False,2.344099392189989
682,18,23,23,False,2.0612200708433543
683,18,23,23,False,1.9118715447245294
684,18,23,23,False,3.019566005818451
685,18,23,23,False,1.7318102293281945
686,18,23,23,False,1.860368676602399
687,18,23,23,False,2.049585807837319
688,18,23,23,False,2.3310073123721025
689,18,23,23,False,2.407103638072809
690,18,23,23,False,2.8011577192931614
691,18,23,23,False,2.1094520992249626
692,18,23,23,False,1.964475546284324
693,18,23,23,False,3.005114381590058
694,18,23,23,False,2.534069439626299
695,18,23,23,False,1.5126459782774233
696,18,23,23,False,2.0362335469818715
697,18,23,23,False,1.6264309646814594
698,18,23,23,False,1.9146277971009233
699,18,23,23,False,2.259302384580398
700,18,23,23,False,2.34091569456905
701,18,23,23,False,2.1359169295027627
702,18,23,23,False,1.8838340322533798
703,18,23,23,False,2.64626234663818
704,18,23,23,False,2.5319252266716172
705,18,23,23,False,1.8546804279388396
706,18,23,23,False,2.309334399287211
707,18,23,23,False,2.43154075572754
708,18,23,23,False,2.14376996042904
709,18,23,23,False,1.824197232698714
710,18,23,23,False,2.6312781582418965
711,18,23,23,False,1.749669065357129
712,18,23,23,False,1.9106995551898658
713,18,23,23,False,1.7120182625433826
714,18,23,23,False,2.4023048295362273
715,18,23,23,False,1.5815465109418745
716,18,23,23,False,1.4041000329306583
717,18,23,23,False,2.6369418842828183
718,18,23,23,False,1.7266976740671771
719,18,23,23,False,2.593643760485358
720,18,23,23,False,1.5184253127792438
721,18,23,23,False,2.886727816502895
722,18,23,23,False,2.082029797287782
723,18,23,23,False,2.3172173973946535
724,18,23,23,False,2.3291822756514415
725,18,23,23,False,1.7655567686760876
726,18,23,23,False,2.2951283648258305
727,18,23,23,False,2.219533676756407
728,18,23,23,False,1.891849035120594
729,18,23,23,False,2.4471980926321613
730,18,23,23,False,2.285891818323975
731,18,23,23,False,3.1302607998310137
732,18,23,23,False,2.579778456328725
733,18,23,23,False,2.7444199180515914
734,18,23,23,False,2.2705251402744073
735,18,23,23,False,1.3688130691314486
